1948	1	24.586	1014.498	-3.433	-1.242
1948	2	25.148	1012.032	-0.465	-2.558
1948	3	25.631	1009.424	-0.825	-0.545
1948	4	26.735	1006.855	2.396	2.546
1948	5	27.422	1006.385	3.672	4.472
1948	6	27.923	1004.505	5.566	6.147
1948	7	27.201	1005.43	4.56	5.212
1948	8	26.86	1004.588	6.315	5.286
1948	9	26.848	1006.956	6.19	3.198
1948	10	26.239	1011.461	2.814	1.341
1948	11	24.944	1015.446	-2.326	-0.314
1948	12	24.725	1013.955	-1.522	-0.654
1949	1	24.019	1016.088	0.425	-0.142
1949	2	24.742	1010.148	3.538	-0.636
1949	3	24.599	1008.713	4.884	0.393
1949	4	25.366	1007.567	4.872	2.842
1949	5	26.094	1007.147	5.524	4.74
1949	6	25.643	1005.688	5.766	7.871
1949	7	25.559	1006.456	6.485	6.041
1949	8	25.365	1006.186	6.41	6.908
1949	9	25.588	1006.523	7.017	5.663
1949	10	25.581	1009.81	7.249	4.095
1949	11	25.166	1012.408	3.266	1.666
1949	12	24.971	1012.201	2.82	-2.218
1950	1	24.92	1011.932	2.543	-2.187
1950	2	25.126	1010.092	3.079	-1.035
1950	3	25.648	1007.755	4.576	0.139
1950	4	25.788	1005.488	4.634	2.335
1950	5	26.219	1005.185	6.228	5.983
1950	6	26.276	1003.512	6.793	8.309
1950	7	25.742	1004.511	6.427	8.145
1950	8	25.634	1005.32	6.472	7.313
1950	9	25.88	1005.9	7.213	6.525
1950	10	25.996	1008.787	5.728	3.913
1950	11	25.558	1010.8	3.918	0.628
1950	12	24.755	1015.559	-0.723	-0.92
1951	1	24.463	1013.799	0.142	-1.216
1951	2	24.436	1009.512	2.682	-0.991
1951	3	24.89	1008.856	0.664	0.169
1951	4	25.615	1006.147	3.238	1.479
1951	5	26.073	1005.898	5.356	3.491
1951	6	25.764	1005.257	4.906	8.072
1951	7	25.583	1006.477	5.549	6.157
1951	8	25.781	1005.682	7.199	6.933
1951	9	25.94	1007.761	4.941	4.292
1951	10	25.663	1009.842	4.848	3.349
1951	11	25.736	1012.628	2.024	1.372
1951	12	25.055	1015.268	-1.839	0.095
1952	1	25.137	1013.831	-1.507	-0.772
1952	2	25.304	1009.996	0.426	-0.486
1952	3	25.17	1007.659	0.529	0.628
1952	4	25.745	1007.734	2.13	1.166
1952	5	26.612	1005.908	4.769	4.827
1952	6	26.046	1004.729	7.387	7.188
1952	7	25.456	1005.328	6.193	7.565
1952	8	25.317	1004.829	6.757	7.144
1952	9	25.499	1006.755	6.675	4.466
1952	10	25.972	1009.137	5.112	4.833
1952	11	25.278	1011.149	1.065	2.209
1952	12	24.546	1016.468	-0.545	-0.983
1953	1	24.61	1014.07	-1.809	-0.986
1953	2	24.579	1013.269	0.207	-1.112
1953	3	25.126	1008.725	1.9	0.251
1953	4	25.638	1007.559	2.406	1.503
1953	5	26.013	1007.291	5.589	4.66
1953	6	26.133	1005.771	5.953	6.635
1953	7	25.797	1006.41	5.442	5.927
1953	8	25.637	1005.904	7.307	5.988
1953	9	25.745	1007.792	6.771	4.462
1953	10	26.088	1010.842	3.382	2.129
1953	11	25.856	1013.284	0.694	1.745
1953	12	25.167	1015.796	-0.632	-2.018
1954	1	26.07	1011.092	-2.083	-1.397
1954	2	26.061	1010.769	-1.525	-1.5
1954	3	26.373	1010.376	-1.165	-0.61
1954	4	27.047	1005.78	0.632	0.732
1954	5	27.519	1006.233	1.816	2.814
1954	6	27.559	1004.907	4.553	5.67
1954	7	26.872	1005.932	4.091	3.828
1954	8	26.95	1005.201	5.393	4.614
1954	9	26.473	1006.018	6.044	3.889
1954	10	26.42	1010.914	-0.344	0.556
1954	11	25.796	1011.993	-0.686	-1.499
1954	12	25.494	1013.664	-3.321	-1.308
1955	1	24.892	1016.163	-4.082	-2.845
1955	2	25.435	1008.951	-1.693	-1.749
1955	3	26.015	1009.374	-1.469	-0.717
1955	4	26.737	1007.917	-0.68	0.237
1955	5	27.76	1005.977	2.994	3.36
1955	6	27.555	1004.911	5.91	5.847
1955	7	26.954	1005.843	5.217	3.775
1955	8	26.895	1006.52	3.641	4.077
1955	9	26.913	1008.054	2.498	1.883
1955	10	26.643	1010.33	0.707	1.366
